"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","6.56129","","","","6.23566","","","","","","","","","","","","","","","","","40.60347","44.85033","47.09899","49.58639","51.17523","51.04549","45.94321","45.41747","45.90001","46.63704","","48.25183","50.41391","50.83343","53.12643","56.53654","","63.11644","68.92778","68.87605","72.27917","","","",
"Bulgaria","BGR","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.90858","84.78601","85.62221","86.4974","86.77323","84.00337","84.8016","84.92386","84.14853","84.22973","83.2109","82.4107","82.92028","84.86736","85.98767","88.84642","89.77371","89.90543","88.87107","87.85868","","","","",
"Bahrain","BHR","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","44.63001","46.20121","49.2368","","","56.04924","66.56056","66.69595","71.89288","76.0207","73.65971","","76.32677","","","","","93.44872","94.18347","","89.40885","88.21678","87.69795","90.54731","92.21486","91.24346","91.32535","91.96687","93.00856","93.11401","","88.59221","87.70018","87.10469","87.1022","85.45677","86.90818","89.06943","91.29455","93.8923","94.42112","93.78209","","","",
"Bahamas, The","BHS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.55332","90.62214","","","","","","70.34891","","","","","79.85233","82.22038","83.4111","87.11506","85.26774","82.93533","82.15272","76.3328","78.52802","71.12629","74.0697","59.99897","68.04682","66.43519","65.04684","","","",
"Bosnia and Herzegovina","BIH","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.05603","95.43727","96.57888","98.00224","98.35988","99.13601","","96.92706","96.18075","","","",
"Belize","BLZ","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1753","60.16414","61.89531","","69.34685","","66.33888","66.93905","66.44766","66.04449","66.30209","66.26234","67.60589","68.82564","71.07215","71.28572","71.03463","73.67771","72.70522","73.35268","","","",
"Bermuda","BMU","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","65.60664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.69351","78.06986","","","","","","","","","","",
"Bolivia","BOL","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7533","63.50595","67.92025","70.47711","72.71429","73.64146","73.30879","73.03837","72.35473","73.31519","73.39152","73.15149","74.50503","76.07971","76.67002","77.23552","77.39237","76.6115","76.97286","","","",
"Brazil","BRA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.48286","","82.73203","","81.36715","79.45052","84.32505","84.85284","83.63342","84.27552","83.18157","","","","",
"Barbados","BRB","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","84.1292","","","84.72761","86.17759","84.13915","85.21789","88.9003","","","","84.05027","73.66866","","","","","","","","","94.93646","91.27349","85.14533","87.19142","89.18286","95.12096","92.0335","91.75268","93.75514","88.88199","84.89659","85.14956","91.58659","","","99.96777","","","","96.81848","","","",
"Brunei Darussalam","BRN","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","51.37552","51.04478","52.21725","54.10249","53.96242","54.90979","57.03768","54.28311","","","","","","","71.65753","68.13667","67.53283","69.57298","","","","","","","","","","","87.98015","89.83722","88.49667","88.24747","89.74596","90.67793","91.41084","94.23704","93.16588","88.81411","86.98323","85.52219","85.63814","84.048","","","",
"Bhutan","BTN","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.90257","18.75869","21.25865","23.70711","","","","34.79663","37.99739","","44.87991","48.05544","52.91804","55.52054","59.35257","62.53251","65.98004","67.91664","69.77816","72.82267","76.54685","","","",
"Botswana","BWA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","6.50991","7.19377","9.35048","10.8766","12.84169","14.49823","15.68464","15.47759","15.6784","17.25754","18.14993","","","21.46094","24.39573","25.56097","","","29.79481","33.5433","42.46151","42.45708","46.13384","45.06304","46.83273","","","65.64492","60.63979","62.79767","","61.96259","63.7512","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","1.52439","1.64319","1.84212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.78226","","9.95953","9.43066","","","","","9.70857","","","","",
"Canada","CAN","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.3506","","","","","","","","","","","","","","","","","","91.93075","91.36203","90.68651","92.51468","99.69423","100","","","","",
"Central Europe and the Baltics","CEB","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.52305","83.23231","82.86775","84.06819","85.03263","86.357","87.33135","87.59414","87.24472","87.99967","88.21168","88.64418","89.23788","89.26189","89.43946","89.24446","89.11786","90.11011","89.87666","90.22955","89.96548","90.0945","90.06636","","","",
"Switzerland","CHE","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","73.95649","73.89013","73.70502","73.56879","73.67363","73.41359","73.19692","73.37438","73.45012","74.17736","75.36394","76.03702","77.117","78.43564","","","","","81.8454","82.34832","82.25319","81.24886","81.05452","81.46374","82.34026","82.9207","82.76726","82.60969","81.85771","82.3699","82.04877","80.06983","82.58785","83.47382","84.0442","84.70193","83.93147","","","","",
"Channel Islands","CHI","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.09875","87.15343","85.16528","86.45824","86.95864","86.40397","89.20266","89.90777","90.32174","90.33011","89.88541","","","","",
"China","CHN","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.51976","","28.999","32.40814","35.05883","","","",
"Cameroon","CMR","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","4.15386","4.84029","5.44807","6.07023","6.72642","7.55653","8.49719","9.38728","10.04752","10.43302","11.02495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.95547","38.24519","40.87461","42.05413","43.0281","","","","","",
"Congo, Dem. Rep.","COD","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.97101","12.5832","12.35144","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","11.34959","","20.37144","","26.8154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.05516","71.53961","74.20973","74.76274","77.28964","78.27416","80.18614","78.77746","79.381","78.5674","78.53982","79.04928","79.31285","80.16872","","","",
"Comoros","COM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.95748","46.64662","","","44.81304","51.66721","","","",
"Cabo Verde","CPV","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.14158","","","","","","","24.65736","","","","","","","","59.32541","60.96055","60.67487","64.48282","65.12895","67.19726","","70.2714","","","73.94385","75.29022","75.75436","75.85656","75.69258","75.42516","74.47218","","","",
"Costa Rica","CRI","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","22.8762","","","32.28778","","35.53364","36.24609","","","40.42991","","41.54288","39.98389","","","36.43595","36.79645","37.36415","","37.44717","38.48066","39.13094","","","","","","","","","","","","","","","","","","","","77.46791","77.65121","79.24222","80.01441","81.99878","84.29661","83.87925","84.30884","","","",
"Caribbean small states","CSS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","51.10654","56.5577","58.42331","58.84994","60.31859","61.54287","64.11737","61.87091","61.69412","61.98826","61.58252","62.93157","63.72609","64.65902","66.2103","65.50445","66.22127","67.45855","67.45069","66.3291","68.11044","69.72886","71.33341","72.89267","73.83379","75.15947","75.12039","75.89374","76.34238","75.95836","77.97097","77.72204","77.75287","78.0548","77.98414","77.68492","77.27449","77.78273","76.853","76.36018","76.58962","75.81048","76.8629","76.79861","76.90783","","","",
"Cuba","CUB","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","20.52918","22.40579","26.31302","","","","","61.1609","","","","","","","70.83282","69.5071","70.30375","72.59362","71.17462","73.50074","72.11035","","63.94686","","","","","79.17534","81.51485","83.72802","82.47511","84.78699","86.19459","87.88753","90.24181","89.72188","88.66904","86.9229","88.86108","88.60291","87.68415","87.9858","86.3748","85.6546","86.31438","86.37745","86.70001","","","",
"Curacao","CUW","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","49.26928","52.15357","57.03425","60.27251","57.23604","62.0989","62.72218","61.56679","62.09664","62.85698","62.89118","62.10306","62.76542","","","","","","","","","","","90.5196","90.55158","90.86582","90.45496","","89.56057","89.4389","89.373","93.13152","94.34654","94.56854","95.28755","95.12994","96.30041","96.70051","96.45937","89.65071","90.62311","92.9666","93.98998","95.50686","95.10285","94.13876","95.3969","","","","",
"Czechia","CZE","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.29101","89.96199","","90.75791","","","","","","","","","88.7365","89.84155","91.17041","92.01744","91.49009","","","","",
"Germany","DEU","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.38924","89.45682","89.606","89.89263","89.60937","89.09741","89.51332","87.81706","87.81084","88.14564","87.67107","87.15888","86.51205","86.06816","85.2448","84.68996","","","","",
